user_id,distance,duration,date
1,4409.0,26.0,2021-01-01
1,2617.0,16.0,2021-01-18
1,754.0,7.0,2021-04-20
1,2694.0,19.0,2021-08-11
1,4028.0,27.0,2021-08-28
1,2770.0,17.0,2021-10-09
1,3039.0,15.0,2021-10-19
1,2842.0,24.0,2021-11-06
1,3412.0,16.0,2021-11-14
1,748.0,16.0,2021-11-22
1,4031.0,18.0,2021-12-14
1,2720.0,10.0,2021-12-22
2,3105.0,25.0,2021-03-15
2,3053.0,12.0,2021-03-18
2,4029.0,26.0,2021-03-23
2,2805.0,21.0,2021-04-08
2,3358.0,19.0,2021-04-13
2,3255.0,14.0,2021-06-20
2,3942.0,21.0,2021-07-02
2,2837.0,27.0,2021-07-18
2,923.0,7.0,2021-08-03
2,2824.0,19.0,2021-10-27
2,3828.0,12.0,2021-12-18
3,3061.0,13.0,2021-01-31
3,2560.0,17.0,2021-02-24
3,2860.0,22.0,2021-02-26
3,2956.0,21.0,2021-04-12
3,2756.0,19.0,2021-05-07
3,2837.0,25.0,2021-05-21
3,3469.0,19.0,2021-05-22
3,2727.0,20.0,2021-07-04
3,2856.0,21.0,2021-07-07
3,5335.0,26.0,2021-07-14
3,2891.0,23.0,2021-09-04
3,2593.0,13.0,2021-12-14
4,2905.0,28.0,2021-02-10
4,3434.0,21.0,2021-02-16
4,3312.0,23.0,2021-06-06
4,3440.0,22.0,2021-06-27
4,3718.0,17.0,2021-07-04
4,2563.0,16.0,2021-07-06
4,4208.0,23.0,2021-07-17
4,4649.0,36.0,2021-08-14
4,2333.0,17.0,2021-10-08
4,3893.0,22.0,2021-10-24
4,3933.0,15.0,2021-10-27
4,3100.0,25.0,2021-10-30
4,724.0,12.0,2021-11-14
4,2618.0,16.0,2021-11-25
5,3914.0,13.0,2021-01-18
5,2561.0,12.0,2021-02-24
5,3380.0,15.0,2021-03-01
5,4194.0,22.0,2021-03-13
5,3058.0,20.0,2021-03-25
5,3373.0,15.0,2021-04-24
5,2579.0,18.0,2021-05-08
5,3244.0,15.0,2021-05-30
5,3311.0,12.0,2021-07-24
5,2720.0,18.0,2021-08-10
5,3218.0,20.0,2021-10-07
6,3961.0,28.0,2021-02-25
6,3462.0,20.0,2021-05-04
6,3097.0,18.0,2021-05-14
6,4453.0,34.0,2021-05-17
6,3142.0,17.0,2021-08-15
6,3346.0,20.0,2021-09-27
6,2350.0,11.0,2021-10-08
6,3339.0,17.0,2021-11-18
6,4281.0,21.0,2021-12-07
6,2643.0,23.0,2021-12-08
7,3015.0,17.0,2021-01-10
7,3462.0,11.0,2021-01-20
7,3679.0,21.0,2021-03-07
7,1609.0,14.0,2021-04-09
7,3279.0,24.0,2021-04-28
7,2971.0,15.0,2021-05-10
7,2508.0,19.0,2021-06-16
7,3187.0,24.0,2021-07-14
7,2910.0,11.0,2021-07-18
7,3008.0,15.0,2021-08-15
7,3158.0,13.0,2021-11-05
7,3333.0,15.0,2021-11-08
7,3087.0,17.0,2021-11-11
7,3299.0,22.0,2021-11-24
7,3104.0,17.0,2021-12-19
7,3091.0,13.0,2021-12-27
8,2869.0,19.0,2021-05-07
8,3892.0,27.0,2021-06-23
8,3451.0,17.0,2021-08-08
8,2961.0,15.0,2021-08-19
8,2579.0,15.0,2021-12-09
9,979.0,18.0,2021-03-08
9,4339.0,21.0,2021-03-09
9,3958.0,17.0,2021-04-17
9,2798.0,17.0,2021-06-30
9,2717.0,11.0,2021-08-04
9,2536.0,14.0,2021-09-20
9,3672.0,13.0,2021-10-30
9,2729.0,22.0,2021-12-18
10,3202.0,10.0,2021-02-04
10,680.0,6.0,2021-02-21
10,3268.0,21.0,2021-03-09
10,2921.0,22.0,2021-04-03
10,4188.0,31.0,2021-06-21
10,3782.0,17.0,2021-07-02
10,1409.0,16.0,2021-07-02
10,3929.0,20.0,2021-08-12
10,3564.0,22.0,2021-11-21
10,2581.0,13.0,2021-12-25
11,4207.0,24.0,2021-02-27
11,2705.0,16.0,2021-09-01
11,3273.0,20.0,2021-11-06
11,3596.0,19.0,2021-12-06
12,3577.0,33.0,2021-01-17
